municipio,zona,tarifa_cup,activo,origen
Cotorro,Vedado Cotorro,3300,yes,"Actual + 1,000"
Cotorro,Residencial América,3100,yes,"Actual + 1,000"
Cotorro,Residencial Paraíso,3000,yes,"Actual + 1,000"
Cotorro,Bello Palmar,3300,yes,"Actual + 1,000"
Cotorro,Lotería,3500,yes,"Actual + 1,000"
Cotorro,La Portada,3600,yes,"Actual + 1,000"
Cotorro,La Guarapeta,3700,yes,"Actual + 1,000"
Cotorro,El Cafetal,3500,yes,Completada
Cotorro,La Gomera,3000,yes,"Actual + 1,000"
Cotorro,Loma de Tierra,3600,yes,"Actual + 1,000"
Cotorro,Alberro Nuevo,3600,yes,"Actual + 1,000"
Cotorro,Alberro Viejo,3600,yes,"Actual + 1,000"
Cotorro,Alturas de Lotería,3500,yes,"Actual + 1,000"
Cotorro,Cruz Verde,3500,yes,Completada
Cotorro,Dulce Nombre,3500,yes,Completada
Cotorro,El Dique,3500,yes,Completada
Cotorro,Finca Los Espiritistas,3500,yes,Completada
Cotorro,La Caridad,3500,yes,Completada
Cotorro,La Coubre,3500,yes,Completada
Cotorro,La Granada,3500,yes,Completada
Cotorro,La Purísima,3500,yes,Completada
Cotorro,La Torre,3500,yes,Completada
Cotorro,Las Delicias,3500,yes,Completada
Cotorro,Las Granjas,3500,yes,Completada
Cotorro,Magdalena-Torriente,3500,yes,Completada
Cotorro,Modelo,3500,yes,Completada
Cotorro,Paraíso,3500,yes,Completada
Cotorro,San Pedro,3500,yes,Completada
Cotorro,San Pedro-Centro Cotorro,3500,yes,Completada
Cotorro,Santa Ana,3500,yes,Completada
Cotorro,Torriente,3500,yes,Completada
Cotorro,Vista Alegre,3500,yes,Completada
Cotorro,Parajón,3500,yes,Completada
Cotorro,Blanco,3500,yes,Completada
Cotorro,La Lima,3500,yes,Completada
Diez de Octubre,Víbora,1700,yes,"Actual + 1,000"
Diez de Octubre,Santos Suárez,1600,yes,"Actual + 1,000"
Diez de Octubre,Lawton,2000,yes,"Actual + 1,000"
Diez de Octubre,Luyanó,1700,yes,"Actual + 1,000"
Diez de Octubre,Sevillano,1800,yes,"Actual + 1,000"
Diez de Octubre,Vista Alegre,2000,yes,"Actual + 1,000"
Diez de Octubre,Tamarindo,1600,yes,"Actual + 1,000"
Diez de Octubre,Mónaco,1650,yes,"Actual + 1,000"
Diez de Octubre,La Lira,1650,yes,"Actual + 1,000"
Guanabacoa,Guanabacoa,2600,yes,"Actual + 1,000"
Guanabacoa,Chibás,2600,yes,"Actual + 1,000"
Guanabacoa,D'Beche,2600,yes,"Actual + 1,000"
Guanabacoa,Minas,3400,yes,"Actual + 1,000"
Guanabacoa,Barreras,3800,yes,"Actual + 1,000"
Guanabacoa,La Jata,2400,yes,"Actual + 1,000"
Guanabacoa,Villa María,2500,yes,"Actual + 1,000"
Guanabacoa,Repollo,2700,yes,"Actual + 1,000"
Guanabacoa,Bacuranao,2900,yes,"Actual + 1,000"
Guanabacoa,La Gallega,3200,yes,"Actual + 1,000"
Guanabacoa,Aranguito,3700,yes,"Actual + 1,000"
Guanabacoa,Arango,3300,yes,"Actual + 1,000"
Guanabacoa,La Sepultura,2600,yes,Completada
Guanabacoa,Naranjo,2400,yes,"Actual + 1,000"
Guanabacoa,Santa Fe,2700,yes,"Actual + 1,000"
Guanabacoa,El Roble,2400,yes,"Actual + 1,000"
Guanabacoa,Reparto Mañana,2000,yes,"Actual + 1,000"
Guanabacoa,Nalón,2400,yes,"Actual + 1,000"
Guanabacoa,Cruz de Piedra,2200,yes,"Actual + 1,000"
Guanabacoa,Campo Florido,3200,yes,Completada
Guanabacoa,Reparto Vía Blanca,2600,yes,Completada
Guanabacoa,Balero,2600,yes,Completada
Guanabacoa,Rotonda de Shell,2600,yes,Completada
Guanabacoa,Semáforo de Guanabacoa,2600,yes,Completada
Guanabacoa,Habana Nueva,2100,yes,"Actual + 1,000"
Guanabacoa,Azotea,2100,yes,"Actual + 1,000"
Guanabacoa,Altura de Vía Blanca,2600,yes,"Actual + 1,000"
Guanabacoa,El Mikito,2600,yes,Completada
Guanabacoa,La Lima,2600,yes,Completada
Guanabacoa,Ricobar,2600,yes,Completada
Guanabacoa,La Federal,2600,yes,Completada
Habana del Este,Alamar,3500,yes,"Actual + 1,000"
Habana del Este,Camilo Cienfuegos,2300,yes,"Actual + 1,000"
Habana del Este,Guiteras,2400,yes,"Actual + 1,000"
Habana del Este,Villa Panamericana,2500,yes,"Actual + 1,000"
Habana del Este,Cojímar,2700,yes,"Actual + 1,000"
Habana del Este,Guanabo,6000,yes,"Actual + 1,000"
Habana del Este,Boca Ciega,4000,yes,"Actual + 1,000"
Habana del Este,Celimar,3200,yes,"Actual + 1,000"
Habana del Este,Campo Florido,4200,yes,"Actual + 1,000"
Habana del Este,Tarará,3600,yes,"Actual + 1,000"
Habana del Este,Bahía,2400,yes,"Actual + 1,000"
Habana del Este,Alamar Zona 1,3500,yes,Completada
Habana del Este,Alamar Zona 2,3500,yes,Completada
Habana del Este,Alamar Zona 3,3500,yes,Completada
Habana del Este,Alamar Zona 4,3500,yes,Completada
Habana del Este,Alamar Zona 5,3500,yes,Completada
Habana del Este,Alamar Zona 6,3500,yes,Completada
Habana del Este,Alamar Zona 7,3500,yes,Completada
Habana del Este,Alamar Zona 8,3500,yes,Completada
Habana del Este,Alamar Zona 9,3500,yes,Completada
Habana del Este,Alamar Zona 10,3500,yes,Completada
Habana del Este,Alamar Zona 11,3500,yes,Completada
Habana del Este,Alamar Zona 12,3500,yes,Completada
Habana del Este,Alamar Zona 13,3500,yes,Completada
Habana del Este,Alamar Zona 14,3500,yes,Completada
Habana del Este,Alamar Zona 15,3500,yes,Completada
Habana del Este,Alamar Zona 16,3500,yes,Completada
Habana del Este,Alamar Zona 17,3500,yes,Completada
Habana del Este,Alamar Zona 18,3500,yes,Completada
Habana del Este,Alamar Zona 19,3500,yes,Completada
Habana del Este,Alamar Zona 20,3500,yes,Completada
Habana del Este,Alamar Zona 21,3500,yes,Completada
Habana del Este,Alamar Zona 22,3500,yes,Completada
Habana del Este,Alamar Zona 23,3500,yes,Completada
Habana del Este,Alamar Zona 24,3500,yes,Completada
Habana del Este,Bajurayabo,3200,yes,Completada
Habana del Este,Peñas Altas,3000,yes,Completada
Habana del Este,Santa María,3800,yes,Completada
Habana del Este,Casa Blanca,2500,yes,Completada
Habana del Este,Bacuranao,3000,yes,Completada
Habana del Este,Mégano,3500,yes,Completada
Habana del Este,Ampliación de Marbella,3200,yes,Completada
Habana del Este,Alturas de Marbella,3200,yes,Completada
Habana del Este,Jústiz,3000,yes,Completada
Habana del Este,Guanabo Viejo,6000,yes,"Actual + 1,000"
Habana del Este,Sibalimar,4300,yes,"Actual + 1,000"
Habana Vieja,La Habana Vieja,1800,yes,"Actual + 1,000"
Habana Vieja,Atarés,1600,yes,"Actual + 1,000"
Habana Vieja,Jesús María,1700,yes,"Actual + 1,000"
Habana Vieja,Casco Histórico,1900,yes,"Actual + 1,000"
La Lisa,La Lisa,2700,yes,Completada
La Lisa,Alturas de La Lisa,2300,yes,"Actual + 1,000"
La Lisa,Arroyo Arenas,2500,yes,"Actual + 1,000"
La Lisa,Punta Brava,3200,yes,"Actual + 1,000"
La Lisa,Arimao,2400,yes,"Actual + 1,000"
La Lisa,El Cano,2700,yes,"Actual + 1,000"
La Lisa,San Agustín,2500,yes,"Actual + 1,000"
La Lisa,La Coronela,2400,yes,"Actual + 1,000"
La Lisa,El Hueco,2000,yes,"Actual + 1,000"
La Lisa,El Pedregal,2100,yes,"Actual + 1,000"
La Lisa,Juan de Dios,2700,yes,"Actual + 1,000"
La Lisa,La Concepción,2900,yes,"Actual + 1,000"
La Lisa,XX Aniversario,3000,yes,"Actual + 1,000"
La Lisa,Valle Grande,3100,yes,"Actual + 1,000"
La Lisa,El Guatao,3300,yes,"Actual + 1,000"
La Lisa,Bello,2400,yes,"Actual + 1,000"
La Lisa,UCI,3100,yes,"Actual + 1,000"
La Lisa,Versalles,2000,yes,"Actual + 1,000"
La Lisa,La Vereda,2100,yes,"Actual + 1,000"
La Lisa,Novia del Mediodía,3300,yes,"Actual + 1,000"
La Lisa,El Morado,3300,yes,"Actual + 1,000"
Marianao,Los Quemados,1800,yes,"Actual + 1,000"
Marianao,Pogolotti,1700,yes,"Actual + 1,000"
Marianao,Los Pocitos,1900,yes,"Actual + 1,000"
Marianao,Santa Felicia,1700,yes,"Actual + 1,000"
Marianao,El Palmar,2000,yes,"Actual + 1,000"
Marianao,Belén,1900,yes,"Actual + 1,000"
Marianao,Zamora,1800,yes,"Actual + 1,000"
Marianao,Coco Solo,1900,yes,"Actual + 1,000"
Marianao,Finlay,1700,yes,"Actual + 1,000"
Marianao,Los Ángeles,1900,yes,"Actual + 1,000"
Marianao,Ceiba (Puentes Grandes),1800,yes,Completada
Marianao,CUJAE,2000,yes,"Actual + 1,000"
Marianao,Marianao,2000,yes,Completada
Marianao,Avenida 35,1900,yes,Completada
Marianao,Avenida 25,1900,yes,Completada
Playa,Miramar,1800,yes,"Actual + 1,000"
Playa,Buenavista,1600,yes,"Actual + 1,000"
Playa,La Ceiba,1600,yes,"Actual + 1,000"
Playa,La Sierra,1600,yes,"Actual + 1,000"
Playa,Kholy,1600,yes,"Actual + 1,000"
Playa,Siboney,2300,yes,"Actual + 1,000"
Playa,Atabey,2300,yes,"Actual + 1,000"
Playa,Santa Fe,2800,yes,"Actual + 1,000"
Playa,Jaimanitas,2500,yes,"Actual + 1,000"
Playa,Flores,2200,yes,"Actual + 1,000"
Playa,Almendares,1600,yes,"Actual + 1,000"
Playa,El Bosque,1600,yes,"Actual + 1,000"
Playa,Paradero de Playa,2000,yes,"Actual + 1,000"
Playa,Náutico,2100,yes,"Actual + 1,000"
Playa,Puentes Grandes,1600,yes,"Actual + 1,000"
Playa,ELAM,3000,yes,"Actual + 1,000"
Playa,Barbosa,2700,yes,"Actual + 1,000"
Playa,Cubanacán,1900,yes,"Actual + 1,000"
Playa,El Basurero,2000,yes,Completada
Playa,Los Sitios,2000,yes,Completada
Playa,Romerillo,1800,yes,"Actual + 1,000"
Playa,Jesús María,2000,yes,Completada
Playa,Reparto Juan Manuel Márquez,2800,yes,"Actual + 1,000"
Playa,Loma Tanque,2200,yes,Completada
Playa,Ramirito,2000,yes,Completada
Playa,Marina Hemingway,2400,yes,"Actual + 1,000"
Playa,El Bote,2300,yes,Completada
Playa,El Náutico,2000,yes,"Actual + 1,000"
Playa,Fanguito,1800,yes,Completada
Playa,Lido,1700,yes,"Actual + 1,000"
Playa,Playa,1800,yes,Completada
Playa,Reparto Cubanacán,1900,yes,"Actual + 1,000"
Playa,Cangrejera,2800,yes,Completada
Plaza de la Revolución,El Vedado,1500,yes,Completada
Plaza de la Revolución,Nuevo Vedado,1000,yes,Completada
Plaza de la Revolución,Príncipe,1700,yes,Completada
Plaza de la Revolución,Plaza,1600,yes,Completada
Plaza de la Revolución,Puentes Grandes,1700,yes,Completada
Regla,Regla,2100,yes,"Actual + 1,000"
Regla,Casablanca,2500,yes,"Actual + 1,000"
San Miguel del Padrón,San Miguel del Padrón,3500,yes,Completada
San Miguel del Padrón,Diezmero,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Alturas de Luyanó,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Rocafort,3500,yes,"Actual + 1,000"
San Miguel del Padrón,San Francisco de Paula,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Jacomino,3500,yes,"Actual + 1,000"
San Miguel del Padrón,California,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Juanelo,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Rosalía,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Fernanda,3500,yes,Completada
San Miguel del Padrón,María Luisa,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Bella Vista,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Prosperidad,3500,yes,Completada
San Miguel del Padrón,Reboledo,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Tejas,3500,yes,Completada
San Miguel del Padrón,La Cuevita,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Virgen del Camino,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Barrio Obrero,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Balear,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Cumbre,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Caballo Blanco,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Monterrey,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Ciudamar,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Ruta 12,3500,yes,Completada
San Miguel del Padrón,Doble Vía,3500,yes,Completada
San Miguel del Padrón,San Matías,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Dolores,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Corea,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Vista Hermosa,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Mirta,3500,yes,"Actual + 1,000"
San Miguel del Padrón,Las Palmas,3500,yes,"Actual + 1,000"
San Miguel del Padrón,La Rosita,3500,yes,"Actual + 1,000"
